drug_name	target_id	drug_canon	kdapp_nM	pkd	stratum	class_abc
Abemaciclib	AAK1	CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1	102.0	6.991399828238082	MODERATE	B_drug_seen_only
ASP-3026	AAK1	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncnc(Nc2ccccc2S(=O)(=O)C(C)C)n1	1325.0	5.877784121727173	MODERATE	C
AT-9283	AAK1	O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1	17.0	7.769551078621726	TIGHT	B_drug_seen_only
Axitinib	AAK1	CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1	2159.0	5.665747357665769	MODERATE	B_drug_seen_only
AZD-5438	AAK1	Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C	228.0	6.642065152999546	MODERATE	B_drug_seen_only
AZD-7762	AAK1	NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1	73.0	7.136677139879544	TIGHT	B_drug_seen_only
Baricitinib	AAK1	CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1	46.0	7.337242168318426	TIGHT	B_drug_seen_only
BMS-690514	AAK1	COc1cccc(Nc2ncnn3ccc(CN4CC[C@@H](N)[C@H](O)C4)c23)c1	1414.0	5.84955059053912	MODERATE	C
Bosutinib	AAK1	COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl	1471.0	5.832387327272469	MODERATE	B_drug_seen_only
CC-401	AAK1	c1cc(OCCN2CCCCC2)cc(-c2n[nH]c3ccc(-c4nnc[nH]4)cc23)c1	2608.0	5.583692412940117	MODERATE	B_drug_seen_only
Cerdulatinib	AAK1	CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1.Cl	1.0	9.0	TIGHT	C
Cyc-116	AAK1	Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1	6.0	8.221848749616356	TIGHT	B_drug_seen_only
Decernotinib	AAK1	CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F	4253.0	5.371304617285977	MODERATE	B_drug_seen_only
Dovitinib	AAK1	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1	209.0	6.679853713888946	MODERATE	B_drug_seen_only
Fedratinib	AAK1	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1	359.0	6.44490555142168	MODERATE	B_drug_seen_only
Filgotinib	AAK1	O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1	4990.0	5.30189945437661	MODERATE	B_drug_seen_only
GDC-0994	AAK1	Cn1nccc1Nc1nccc(-c2ccn([C@H](CO)c3ccc(Cl)c(F)c3)c(=O)c2)n1	401.0	6.396855627379818	MODERATE	B_drug_seen_only
Gilteritinib	AAK1	CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1	25.0	7.6020599913279625	TIGHT	C
GSK-1059615	AAK1	O=C1NC(=O)/C(=C/c2ccc3nccc(-c4ccncc4)c3c2)S1	35.0	7.455931955649724	TIGHT	B_drug_seen_only
JANEX-1	AAK1	COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC	1069.0	5.971022294791222	MODERATE	B_drug_seen_only
