sample_name	target	off_target	off_target_pidx	cosine
dec_ALK_0001	ALK	NTRK1	20132	0.1291
dec_ALK_0001	ALK	NTRK2	22429	0.1282
dec_ALK_0001	ALK	NTRK3	22412	0.1618
dec_ALK_0001	ALK	ROS1	9115	0.1246
dec_ALK_0002	ALK	NTRK1	20132	0.1336
dec_ALK_0002	ALK	NTRK2	22429	0.1224
dec_ALK_0002	ALK	NTRK3	22412	0.1510
dec_ALK_0002	ALK	ROS1	9115	0.1063
dec_ALK_0003	ALK	NTRK1	20132	0.1156
dec_ALK_0003	ALK	NTRK2	22429	0.1322
dec_ALK_0003	ALK	NTRK3	22412	0.1579
dec_ALK_0003	ALK	ROS1	9115	0.1005
dec_ALK_0004	ALK	NTRK1	20132	0.0825
dec_ALK_0004	ALK	NTRK2	22429	0.0890
dec_ALK_0004	ALK	NTRK3	22412	0.1026
dec_ALK_0004	ALK	ROS1	9115	0.1001
dec_ALK_0005	ALK	NTRK1	20132	0.0930
dec_ALK_0005	ALK	NTRK2	22429	0.0908
dec_ALK_0005	ALK	NTRK3	22412	0.1035
dec_ALK_0005	ALK	ROS1	9115	0.0693
dec_ALK_0006	ALK	NTRK1	20132	0.1420
dec_ALK_0006	ALK	NTRK2	22429	0.1351
dec_ALK_0006	ALK	NTRK3	22412	0.1604
dec_ALK_0006	ALK	ROS1	9115	0.0970
dec_ALK_0007	ALK	NTRK1	20132	0.1782
dec_ALK_0007	ALK	NTRK2	22429	0.1623
dec_ALK_0007	ALK	NTRK3	22412	0.2181
dec_ALK_0007	ALK	ROS1	9115	0.0892
dec_ALK_0008	ALK	NTRK1	20132	0.1267
dec_ALK_0008	ALK	NTRK2	22429	0.1246
dec_ALK_0008	ALK	NTRK3	22412	0.1513
dec_ALK_0008	ALK	ROS1	9115	0.1116
dec_ALK_0009	ALK	NTRK1	20132	0.0883
dec_ALK_0009	ALK	NTRK2	22429	0.1042
dec_ALK_0009	ALK	NTRK3	22412	0.1197
dec_ALK_0009	ALK	ROS1	9115	0.0795
dec_ALK_0010	ALK	NTRK1	20132	0.0301
dec_ALK_0010	ALK	NTRK2	22429	0.0973
dec_ALK_0010	ALK	NTRK3	22412	0.0860
dec_ALK_0010	ALK	ROS1	9115	0.0586
dec_ALK_0011	ALK	NTRK1	20132	0.0655
dec_ALK_0011	ALK	NTRK2	22429	0.0676
dec_ALK_0011	ALK	NTRK3	22412	0.0862
dec_ALK_0011	ALK	ROS1	9115	0.0983
