sample_name	target	off_target	off_target_cosine	off_target_rank	source
dec_ALK_0007	ALK	NTRK1	0.1782		exact
dec_ALK_0007	ALK	NTRK2	0.1623		exact
dec_ALK_0007	ALK	NTRK3	0.2181	15	exact
dec_ALK_0007	ALK	ROS1	0.0892		exact
dec_ALK_0016	ALK	NTRK1	0.1173		exact
dec_ALK_0016	ALK	NTRK2	0.1218		exact
dec_ALK_0016	ALK	NTRK3	0.1670		exact
dec_ALK_0016	ALK	ROS1	0.1319		exact
dec_ALK_0017	ALK	NTRK1	0.1224		exact
dec_ALK_0017	ALK	NTRK2	0.0964		exact
dec_ALK_0017	ALK	NTRK3	0.1456		exact
dec_ALK_0017	ALK	ROS1	0.0944		exact
dec_ALK_0020	ALK	NTRK1	0.0944		exact
dec_ALK_0020	ALK	NTRK2	0.1256		exact
dec_ALK_0020	ALK	NTRK3	0.1269		exact
dec_ALK_0020	ALK	ROS1	0.0379		exact
dec_ALK_0022	ALK	NTRK1	0.1451		exact
dec_ALK_0022	ALK	NTRK2	0.1260		exact
dec_ALK_0022	ALK	NTRK3	0.1568		exact
dec_ALK_0022	ALK	ROS1	0.1036		exact
dec_ALK_0028	ALK	NTRK1	0.1427		exact
dec_ALK_0028	ALK	NTRK2	0.1119		exact
dec_ALK_0028	ALK	NTRK3	0.1731		exact
dec_ALK_0028	ALK	ROS1	0.1079		exact
dec_ALK_0032	ALK	NTRK1	0.1429		exact
dec_ALK_0032	ALK	NTRK2	0.1103		exact
dec_ALK_0032	ALK	NTRK3	0.1696		exact
dec_ALK_0032	ALK	ROS1	0.1133		exact
dec_ALK_0040	ALK	NTRK1	0.1338		exact
dec_ALK_0040	ALK	NTRK2	0.1054		exact
dec_ALK_0040	ALK	NTRK3	0.1589		exact
dec_ALK_0040	ALK	ROS1	0.0845		exact
dec_ALK_0044	ALK	NTRK1	0.0901		exact
dec_ALK_0044	ALK	NTRK2	0.0603		exact
dec_ALK_0044	ALK	NTRK3	0.0714		exact
dec_ALK_0044	ALK	ROS1	0.0930		exact
dec_ALK_0046	ALK	NTRK1	0.1265		exact
dec_ALK_0046	ALK	NTRK2	0.0929		exact
dec_ALK_0046	ALK	NTRK3	0.1567		exact
dec_ALK_0046	ALK	ROS1	0.1078		exact
dec_ALK_0057	ALK	NTRK1	0.1587		exact
dec_ALK_0057	ALK	NTRK2	0.1075		exact
dec_ALK_0057	ALK	NTRK3	0.1359		exact
dec_ALK_0057	ALK	ROS1	0.0039		exact
dec_ALK_0064	ALK	NTRK1	0.0573		exact
dec_ALK_0064	ALK	NTRK2	0.1264		exact
dec_ALK_0064	ALK	NTRK3	0.1120		exact
dec_ALK_0064	ALK	ROS1	0.0661		exact
dec_BTK_0073	BTK	CSK	0.1726		exact
dec_BTK_0073	BTK	ITK	0.2451	49	exact
dec_BTK_0073	BTK	EGFR	0.0652		exact
