sample_name	target_intended	stratum	canonical_smiles	leakage_class	max_tanimoto_to_training	max_tanimoto_to_approved	iptm	interface_pae_min	intended_target_rank	intended_target_cosine	top10_off_target_genes	top10_off_target_cosines	top10_off_target_ranks	max_off_target_cosine	n_other_decoder_targets_in_top50	qed	mw	logp	ro5_compliant
dec_ALK_0007	ALK	top_cosine	CCC1(C)c2cc(OC[C@@H](O)CO)ccc2C(=O)c2c1oc1cc(C#N)ccc21	C	0.6286	0.2755	0.9	2.29	1	0.3713	ALK;Alk;LTK;SRPK3;RHEB;FES;SRPK1;INPPL1;CTNNB1;NTRK3	0.3713;0.3640;0.2912;0.2677;0.2412;0.2297;0.2288;0.2237;0.2222;0.2181	1;2;3;4;5;7;8;13;14;15	0.3713	0	0.6916	391.42	3.297	True
dec_ALK_0016	ALK	top_cosine	CCC1(C)c2cc(OC[C@@H](O)[C@H](O)CO)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21	C	0.7206	0.3736	0.93	1.86	1	0.3541	ALK;Alk;LTK;SRPK3;ABL1;SRPK1;ULK2;Abl1;RHEB;PRKAA2	0.3541;0.3443;0.2728;0.2397;0.2247;0.2222;0.2207;0.2160;0.2141;0.2084	1;2;3;4;5;6;7;14;25;36	0.3541	3	0.485	420.47	2.393	True
dec_ALK_0017	ALK	top_cosine	CC1(CS)c2cc(OCCN3CCCC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21	C	0.6986	0.3956	0.9	2.4	1	0.3539	ALK;Alk;LTK;SRPK3;SRPK1;CHEK1;TYK2;WEE1;Tyk2;Insr	0.3539;0.3447;0.2357;0.2206;0.2181;0.2154;0.2097;0.2090;0.2081;0.2013	1;2;3;4;5;6;9;11;12;23	0.3539	3	0.5914	431.56	4.294	True
dec_ALK_0020	ALK	top_cosine	CC(=O)Oc1ccc2c(c1)C(C)(C)c1[nH]c3cc(NCCO)ccc3c1C2=O	C	0.5342	0.3222	0.91	2.54	1	0.3492	ALK;Alk;CSNK1G2;CSNK1G3;CSNK1G1;Flt4;STK32B;MARK2;MARK4;TSSK2	0.3492;0.3438;0.2352;0.2349;0.2300;0.2217;0.2209;0.2170;0.2168;0.2152	1;2;3;4;5;6;7;8;9;10	0.3492	0	0.4783	378.43	3.368	True
dec_ALK_0022	ALK	top_cosine	CC1(CS)c2cc(OCCN3CCN(Cc4ccccc4)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21	C	0.6375	0.3673	0.9	2.04	1	0.3446	ALK;Alk;Insr;EPHA6;LTK;INSR;exsA;SRPK1;KIT;Kit	0.3446;0.3366;0.2105;0.2077;0.2072;0.2051;0.2034;0.1925;0.1907;0.1877	1;2;3;4;5;6;7;9;10;11	0.3446	3	0.3249	536.7	5.016	False
dec_ALK_0028	ALK	top_cosine	CC1(CO)c2cc(OC[C@@H](O)CO)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21	C	0.7538	0.3667	0.92	1.77	1	0.3377	ALK;Alk;STK11;SRPK3;LTK;RHEB;MARK2;SRPK2;SRPK1;WEE1	0.3377;0.3259;0.2628;0.2503;0.2387;0.2231;0.2208;0.2140;0.2113;0.2080	1;2;3;4;5;6;7;9;10;11	0.3377	1	0.5226	392.41	1.614	True
dec_ALK_0032	ALK	top_cosine	CC1(CO)c2cc(OC[C@H](O)CO)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21	C	0.7538	0.3667	0.92	1.76	1	0.3343	ALK;Alk;STK11;SRPK3;LTK;RHEB;MARK2;WEE1;SRPK2;Abl1	0.3343;0.3226;0.2618;0.2465;0.2353;0.2246;0.2243;0.2135;0.2123;0.2093	1;2;3;4;5;6;7;9;12;13	0.3343	1	0.5226	392.41	1.614	True
dec_ALK_0040	ALK	top_cosine	CC1(CS)c2cc(OCCN3CCCCC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21	C	0.6892	0.3913	0.92	1.96	1	0.3258	ALK;Alk;SRPK3;SRPK1;LTK;TYK2;Tyk2;CHEK1;WEE1;FLT3	0.3258;0.3168;0.2344;0.2276;0.2266;0.2166;0.2154;0.2097;0.2095;0.2090	1;2;3;4;5;8;9;10;11;12	0.3258	3	0.5595	445.59	4.684	True
dec_ALK_0044	ALK	top_cosine	COc1cc2c(cc1N1CCN(C)CC1)C(C)(C)c1[nH]c3cc(C(=O)NCCCBr)ccc3c1C2=O	C	0.494	0.3711	0.95	1.64	1	0.3238	ALK;Alk;LTK;INSRR;Uts2r;Mylk;MYLK;Insr;SRPK2;INSR	0.3238;0.3226;0.2379;0.2248;0.2193;0.2147;0.2098;0.2089;0.2085;0.2076	1;2;3;4;5;7;8;9;10;11	0.3238	0	0.3516	553.5	4.313	False
dec_ALK_0046	ALK	top_cosine	CC1(CS)c2cc(OC[C@@H](O)CO)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21	C	0.7313	0.3587	0.9	2.49	1	0.3231	ALK;Alk;STK11;SRPK3;PIM1;LTK;CLK4;Clk4;CLK1;CLK2	0.3231;0.3117;0.2467;0.2437;0.2240;0.2228;0.2214;0.2179;0.2175;0.2135	1;2;3;4;5;8;9;12;13;16	0.3231	1	0.4857	408.48	2.552	True
dec_ALK_0057	ALK	scaffold_div	CC1(C)c2cc(OCC(=O)N3CCOCC3)c(Cl)cc2C(=O)c2c1oc1cc([S+]([O-])CP)ccc21	C	0.4348	0.2617	0.94	1.68	1	0.3119	ALK;Alk;G3BP1;CNR2;PPP1CC;pol;PPP1CA;gag-pol;CASP3;CNOT1	0.3119;0.3110;0.2998;0.2912;0.2912;0.2904;0.2904;0.2898;0.2896;0.2879	1;2;3;6;7;8;9;12;14;22	0.3119	0	0.3615	533.97	4.134	False
dec_ALK_0064	ALK	mid_cosine	CCN(CCBr)CCOc1ccc2c(c1)C(C)(C)c1[nH]c3cc(C#N)c(C#N)cc3c1C2=O	C	0.8154	0.3478	0.85	3.39	2	0.3028	Alk;ALK;SRPK1;atn1;SRPK3;ATP1A1;ATP12A;RLK5;pol;LTK	0.3062;0.3028;0.2382;0.2252;0.2218;0.2200;0.2152;0.2117;0.2068;0.2032	1;2;3;6;7;8;10;13;16;17	0.3062	0	0.4625	505.42	4.877	False
dec_BTK_0073	BTK	top_cosine	CC(C)(CN)c1cc(F)c2c(=O)n(-c3cccc(-c4ccnc(Nc5ccc(C(=O)N6CCOCC6)cc5)n4)c3CO)ncc2c1	C	0.6154	0.1439	0.97	0.8	2	0.3316	Btk;BTK;BMX;Bmx;TXK;ITK;TEC;Blk;Lyn;BLK	0.3324;0.3316;0.3246;0.3017;0.2498;0.2451;0.2449;0.2342;0.2278;0.2250	1;2;4;5;48;49;50;51;61;63	0.3324	4	0.2339	623.69	3.926	False
dec_BTK_0074	BTK	top_cosine	Nc1ncnc2c1c(-c1ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc1)nn2[C@@H]1C[C@H]2CCN(C(=O)C=CP)[C@H]2C1	C	0.5789	0.3663	0.96	0.82	4	0.3295	TEC;TXK;Btk;BTK;BMX;ITK;Bmx;FRK;Blk;BLK	0.3562;0.3461;0.3320;0.3295;0.3255;0.3198;0.3177;0.2837;0.2755;0.2745	1;2;3;5;25;30;47;66;67;68	0.3562	4	0.2533	594.54	4.682	False
dec_BTK_0075	BTK	top_cosine	Nc1n[nH]c(=O)c2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCN(C(=O)C=CP)C1	C	0.8382	0.3933	0.97	0.81	3	0.3184	TEC;Btk;BTK;BMX;Bmx;ITK;TXK;PTK6;Blk;BLK	0.3273;0.3197;0.3184;0.3170;0.2969;0.2947;0.2803;0.2592;0.2579;0.2536	1;2;4;5;6;7;51;65;67;68	0.3273	3	0.3375	473.47	3.928	True
dec_BTK_0076	BTK	top_cosine	Nc1n[nH]c(=O)c2c1c(-c1ccc(Oc3ccccc3)cc1)cn2[C@@H]1CCN(C(=O)C=CP)C1	C	0.8382	0.3933	0.97	0.8	3	0.3163	TEC;Btk;BTK;BMX;ITK;Bmx;TXK;Blk;BLK;SRMS	0.3355;0.3178;0.3163;0.3146;0.3093;0.2995;0.2903;0.2817;0.2786;0.2658	1;2;4;5;6;7;19;48;49;62	0.3355	3	0.3375	473.47	3.928	True
dec_BTK_0077	BTK	top_cosine	CC(C)(O)C1CCc2c([nH]c3c(C(N)=O)ccc(-c4cc(F)cc(NC(=O)C=CF)c4)c23)C1	C	0.6753	0.1455	0.98	0.84	2	0.3110	Btk;BTK;BMX;Bmx;TEC;ITK;TXK;CSK;FRK;Top2	0.3117;0.3110;0.2762;0.2738;0.2634;0.2564;0.2114;0.1976;0.1847;0.1841	1;2;5;7;30;44;65;66;71;72	0.3117	2	0.4309	453.49	4.37	True
dec_BTK_0078	BTK	top_cosine	NCOc1ccccc1Oc1ccc(-c2nc(C34CCC(C(=O)O)(CC3)CC4)n3ccnc(N)c23)cc1	C	0.557	0.3229	0.97	0.82	2	0.3102	Btk;BTK;BMX;TEC;Bmx;TXK;ITK;CSK;Cyth3;ACK2	0.3108;0.3102;0.2412;0.2330;0.2233;0.2032;0.2010;0.1949;0.1852;0.1844	1;3;39;45;48;49;50;52;55;56	0.3108	0	0.31	499.57	4.742	True
dec_BTK_0080	BTK	top_cosine	COCCOc1ccc(Nc2nc(Nc3cccc(NC(=O)C=CP)c3)c3cccn3n2)cc1	C	0.5867	0.1504	0.95	1.1	3	0.3082	PTK2;Btk;BTK;PTK2B;Ptk2;TYK2;Tyk2;Ptk2b;Jak2;JAK2	0.3346;0.3106;0.3082;0.2906;0.2887;0.2800;0.2789;0.2733;0.2716;0.2660	1;4;13;26;27;31;33;39;59;72	0.3346	4	0.1751	476.48	4.569	True
dec_BTK_0081	BTK	top_cosine	Cn1c(=O)n(-c2cccc(NC(=O)C=CP)c2)c2nc(Nc3ccc(OCCN4CCOCC4)cc3)ncc21	C	0.6548	0.1538	0.96	0.86	2	0.3068	Btk;BTK;BMX;Bmx;TXK;Blk;BLK;TEC;ITK;IGF1R	0.3092;0.3068;0.2989;0.2916;0.2861;0.2838;0.2831;0.2824;0.2783;0.2531	1;3;4;5;6;9;10;19;39;68	0.3092	5	0.2429	547.56	2.901	False
dec_BTK_0084	BTK	top_cosine	NCOc1ccccc1Oc1ccc(-c2nc(C34CCC(CO)(CC3)OC4)n3ccnc(N)c23)cc1	C	0.7568	0.3	0.97	0.83	1	0.3050	BTK;Btk;BMX;Bmx;TEC;TXK;ITK;CSK;INSR;PLD2	0.3050;0.3049;0.2541;0.2296;0.2237;0.2032;0.2019;0.1815;0.1636;0.1617	1;2;39;47;48;49;50;54;68;69	0.3050	2	0.337	487.56	3.639	True
dec_BTK_0085	BTK	top_cosine	Cc1[nH]c2c(C(N)=O)ccc(-c3cccc(-n4cc(F)cn4)c3CO)c2c1C	C	0.5067	0.1373	0.97	0.86	1	0.3029	BTK;Btk;BMX;Bmx;TXK;TEC;ITK;TYK2;Tyk2;CGAS	0.3029;0.3021;0.2958;0.2871;0.2788;0.2736;0.2422;0.2038;0.1973;0.1968	1;2;4;5;6;7;50;63;73;76	0.3029	4	0.5079	378.41	3.368	True
dec_BTK_0086	BTK	top_cosine	CC(C)(CBr)OC(=O)N1CCC[C@@H](NC(=O)c2sc3nccc4c3c2NC(=O)N4c2ccc(Oc3ccccc3)cc2)C1	C	0.8659	0.2613	0.95	0.9	2	0.3028	Btk;BTK;BMX;Bmx;ITK;TEC;TXK;F10;P4HA1;BLK	0.3037;0.3028;0.2565;0.2481;0.2429;0.2247;0.2090;0.1476;0.1421;0.1381	1;3;31;40;41;49;64;68;71;74	0.3037	2	0.201	664.58	7.277	False
dec_BTK_0087	BTK	top_cosine	Nc1c(C(=O)c2cc3c(-c4ccccc4)cccc3[nH]2)cnn1-c1ccc(Oc2ccccc2)cc1CCl	C	0.6375	0.2059	0.96	0.95	1	0.3027	BTK;Btk;BMX;Bmx;TEC;TXK;BLK;Blk;ITK;FGR	0.3027;0.3022;0.2549;0.2411;0.2330;0.2234;0.2221;0.2212;0.2198;0.2045	1;2;39;45;46;49;50;51;52;54	0.3027	1	0.1706	519.0	7.365	False
dec_BTK_0088	BTK	top_cosine	CC(CCl)Nc1ccc(-c2cc(-c3ccnc(-n4ncn5c6c(cc5c4=O)CC(C)(C)C6)c3CO)cc(C(N)=O)c2N)cn1	C	0.5545	0.1562	0.96	1.08	2	0.3026	Btk;BTK;BMX;Bmx;TEC;TXK;ITK;Lyn;IGF1R;LYN	0.3026;0.3026;0.2849;0.2849;0.2286;0.2170;0.1983;0.1896;0.1896;0.1816	1;2;32;33;48;49;50;52;53;72	0.3026	2	0.1509	613.12	3.947	False
dec_BTK_0089	BTK	top_cosine	Cc1nc(C(=O)Nc2cccc(-c3ccnc(Nc4ccc(C(=O)N5CCOCC5)c(NC(=O)C=CF)c4)n3)c2C)no1	C	0.5495	0.1417	0.96	0.87	1	0.3032	BTK;Btk;BMX;ITK;Bmx;TXK;TEC;Blk;BLK;FRK	0.3032;0.3026;0.2814;0.2805;0.2783;0.2289;0.2272;0.2217;0.2208;0.2164	1;2;6;7;8;64;65;66;67;68	0.3032	5	0.2568	586.58	4.033	False
