target	n	pearson_r	spearman_rho	HH	HL	LH	LL	flag
ALK	66	-0.055	-0.211	66	0	0	0	
BTK	82	0.182	0.194	20	0	62	0	
CDK4	62	-0.14	-0.094	62	0	0	0	
CDK6	58	-0.067	0.068	58	0	0	0	
EGFR	88	-0.155	-0.2	7	0	81	0	
F11	65	0.357	0.346	63	2	0	0	
FLT3	83	0.051	0.069	1	0	82	0	
JAK1	80	-0.191	-0.09	5	0	75	0	
JAK2	83	-0.183	0.109	1	0	82	0	
JAK3	77	-0.224	-0.165	7	0	70	0	
MAP2K1	67	-0.229	-0.289	67	0	0	0	
MAP2K2	72	0.03	-0.105	68	4	0	0	
PARP1	85	0.101	0.2	52	0	33	0	
PARP2	70	0.08	0.112	51	0	19	0	
PIK3CA	85	-0.005	-0.062	6	0	79	0	
TYK2	77	-0.34	-0.379	0	0	54	23	
