target_group	n_binders_evaluated	mean_cosine	min_cosine	max_cosine	mean_z	n_rows_tried	baseline_mean	baseline_std
ALK	5	0.2739469587802887	0.24855610728263855	0.3072490692138672	4.7292795303715875	5	0.020720161497592926	0.05354447662830353
BTK	3	0.24744814137617746	0.232749804854393	0.2664543092250824	3.794180397021903	4	0.007766228634864092	0.06317093223333359
CDK4_6	6	0.2999672243992488	0.28338104486465454	0.3292912244796753	4.871358690348896	6	0.006480798590928316	0.060776036232709885
EGFR	6	0.2328439032038053	0.2209121733903885	0.2515065670013428	3.2676221972443193	6	0.031245766207575798	0.06169566884636879
FLT3	2	0.2146795243024826	0.14960989356040955	0.27974915504455566	2.5986134897807087	3	0.028465870767831802	0.07165884971618652
FXIa	1	0.29497596621513367	0.29497596621513367	0.29497596621513367	5.4421758623828795	2	0.005463690496981144	0.053197890520095825
JAK_family	9	0.21306139561865065	0.18155814707279205	0.2427959442138672	3.1127931732749534	10	0.0035530359018594027	0.06367743760347366
MEK1_2	4	0.27278704196214676	0.23196697235107422	0.31732916831970215	4.784960604229786	6	0.016070296987891197	0.053923893719911575
PARP1_2	5	0.2707080692052841	0.24451805651187897	0.3032734990119934	4.371121357732676	5	0.012370514683425426	0.05994143337011337
PI3K	2	0.21685431152582169	0.17780239880084991	0.25590622425079346	3.259820896620322	4	0.02535778284072876	0.05874449387192726
