target_group	target_gene	drug_name	indication	clinical_stage	pubchem_cid	pubchem_status	smiles_input	smiles_canonical	drug_idx	resolution_method	target_pidx_canonical	n_target_pidxs_in_training	leakage_class
BTK	BTK	ibrutinib	CLL/MCL/Waldenstrom	approved	24821094	hit	C=CC(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N	C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1	13219	strict_canonical	22249	53	B
BTK	BTK	acalabrutinib	CLL/MCL	approved	71226662	hit	CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5	CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12	68692	strict_canonical	22249	53	A
BTK	BTK	zanubrutinib	CLL/MCL	approved	135565884	hit	C=CC(=O)N1CCC(CC1)[C@@H]2CCNC3=C(C(=NN23)C4=CC=C(C=C4)OC5=CC=CC=C5)C(=O)N	C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1	14310	strict_canonical	22249	53	A
BTK	BTK	pirtobrutinib	CLL (non-covalent)	approved	129269915	hit	C[C@@H](C(F)(F)F)N1C(=C(C(=N1)C2=CC=C(C=C2)CNC(=O)C3=C(C=CC(=C3)F)OC)C(=O)N)N	COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1	-1	miss	22249	53	C
EGFR	EGFR	gefitinib	NSCLC	approved	123631	hit	COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1	100441	strict_canonical	19976	82	B
EGFR	EGFR	erlotinib	NSCLC	approved	176870	hit	COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	70592	strict_canonical	19976	82	B
EGFR	EGFR	lapatinib	HER2+ breast/NSCLC	approved	208908	hit	CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1	100686	strict_canonical	19976	82	B
EGFR	EGFR	afatinib	NSCLC	approved	10184653	hit	CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	133493	strict_canonical	19976	82	A
EGFR	EGFR	osimertinib	NSCLC T790M	approved	71496458	hit	CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC	C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	97547	strict_canonical	19976	82	B
EGFR	EGFR	dacomitinib	NSCLC	approved	11511120	hit	COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)/C=C/CN4CCCCC4	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1	135270	strict_canonical	19976	82	A
CDK4_6	CDK4	palbociclib	HR+ breast	approved	5330286	hit	CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C	CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O	236319	strict_canonical	20555	2	A
CDK4_6	CDK6	palbociclib	HR+ breast	approved	5330286	hit	CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C	CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O	236319	strict_canonical	22143	9	B
CDK4_6	CDK4	ribociclib	HR+ breast	approved	44631912	hit	CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5	CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1	236644	strict_canonical	20555	2	A
CDK4_6	CDK6	ribociclib	HR+ breast	approved	44631912	hit	CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5	CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1	236644	strict_canonical	22143	9	B
CDK4_6	CDK4	abemaciclib	HR+ breast	approved	46220502	hit	CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F	CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1	23763	strict_canonical	20555	2	B
