drug_name	smiles	canonical_smiles	designated_targets	other_targets	binding_type	binding_mode	clinical_phase	chembl_id	pubchem_cid
Abemaciclib	CCN1CCN(Cc2ccc(Nc3ncc(F)c(n3)c4cc(F)c5nc(C)n(C(C)C)c5c4)nc2)CC1	CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1	CDK4,CDK6		0	reversible	Phase III	CHEMBL3301610	46220502.0
AC-480	Cc1c(NC(=O)OC[C@@H]2COCCN2)cn3ncnc(Nc4ccc5c(cnn5Cc6cccc(F)c6)c4)c13	Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12	EGFR,ERBB2	ERBB4	0	reversible	Phase I	CHEMBL1645462	10437018.0
ACTB-1003	FC(F)(F)C1=CC=C(F)C(NC(NC2=CC=C(C3=C(C(N)=NC=N4)N4C(CN5CCOCC5)=C3COC)C=C2F)=O)=C1	COCc1c(-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)c(F)c2)c2c(N)ncnn2c1CN1CCOCC1	FGFR1	KDR,TEK,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KB1,RPS6KB2	0	reversible	Phase I		23653175.0
AEE-788	CCN1CCN(Cc2ccc(cc2)c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)CC1	CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1	EGFR,ERBB2	KDR,ABL1,SRC,FLT1,CSF1R,ERBB4,PDGFRB,FLT4,FLT3,RET,KIT	1	reversible	Phase I/II	CHEMBL587723	10297043.0
AEW-541	Nc1ncnc2c1c(cn2[C@@H]3C[C@H](C3)N4CCC4)c5cccc(OCc6ccccc6)c5	Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@H](N2CCC2)C1	IGF1R,INSR	FLT3,TEK,FLT1	1	reversible	Phase I	CHEMBL551064	11476171.0
Afatinib	CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	EGFR	ERBB2	1	covalent	approved	CHEMBL1173655	10184653.0
Alectinib	CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCC(CC5)N6CCOCC6	CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O	ALK	INSR	1	reversible	approved	CHEMBL1738797	49806720.0
Alisertib	COc1cccc(F)c1C2=NCc3cnc(Nc4ccc(C(=O)O)c(OC)c4)nc3c5ccc(Cl)cc25	COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O	AURKA	AURKB	0	reversible	Phase II	CHEMBL483158	24771867.0
Alvocidib	CN1CC[C@@H]([C@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1	CDK1,CDK2,CDK4,CDK6	CDK7,EGFR,PRKACA,PRKACB,PRKACG	1	reversible	Phase II	CHEMBL428690	5287969.0
AMG-208	COc1ccc2c(OCc3nnc4ccc(nn34)c5ccccc5)ccnc2c1	COc1ccc2c(OCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1	MET		1	reversible	Phase I	CHEMBL496102	24864821.0
