target	stratum	drug_idx	drug_smiles	drug_name	expected_class	cosine	rank	synthetic_rank	tag
NLRP3	top50_cosine	39497	Cc1cc(C(C)C)ccc1-n1cc2c(=O)[nH]c(N3CCCC3)nc2n1		A	0.37955272	1		
NLRP3	top50_cosine	39538	Cc1ccc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N(C(C)C)C(C)C)co1		A	0.37200794	2		
NLRP3	top50_cosine	20138	CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1	MCC950	B	0.37123296	3		gold_standard
NLRP3	top50_cosine	39695	CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1		A	0.37118194	4		
NLRP3	top50_cosine	39800	CCS(=O)(=O)Cc1csc(/C=C/S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1		A	0.37106276	5		
NLRP3	top50_cosine	39468	CS(=O)(=O)NC(=O)c1cnc(Nc2c3c(cc4c2CCC4)CCC3)o1		A	0.3705396	6		
NLRP3	top50_cosine	39843	O=c1[nH]c(N2CCOCC2)nc2nn(-c3ccc(C4CC4)cc3C(F)F)cc12		A	0.36507115	7		
NLRP3	top50_cosine	39848	O=c1[nH]c(N2CCOCCO2)nc2nn(-c3ccc(C4CC4)cc3C(F)(F)F)cc12		A	0.3645497	8		
NLRP3	top50_cosine	39535	Cc1ccc(C(C)C)cc1Nc1nc(C(=O)NS(=O)(=O)N(C)Cc2ccccn2)co1		A	0.3624943	9		
NLRP3	top50_cosine	39515	Cc1cc(C2CC2)ccc1-n1cc2c(=O)[nH]c(N3CCCC3)nc2n1		A	0.36158532	10		
NLRP3	top50_cosine	39793	CCOC(=O)c1nnc(Nc2c3c(cc4c2CCC4)CCC3)o1		A	0.36047322	11		
NLRP3	top50_cosine	39696	CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4O)CCC3)c1		A	0.35798076	12		
NLRP3	top50_cosine	39462	COc1ccc(C(C)C)c(Nc2nc(C(=O)NS(=O)(=O)N3CCCOCC3)co2)c1		A	0.3570591	13		
NLRP3	top50_cosine	20137	CC(C)(C)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1		B	0.35564047	14		
NLRP3	top50_cosine	39430	CNc1nc2nn(-c3c(C)cc(C4CC4)cc3C)cc2c(=O)[nH]1		A	0.35500392	15		
NLRP3	top50_cosine	39524	Cc1cc(OC(F)F)cc(C)c1-n1cc2c(=O)[nH]c(N3CCOCC3=O)nc2n1		A	0.35424364	16		
NLRP3	top50_cosine	39694	CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC(O)C4)CCC3)c1		A	0.35298046	17		
NLRP3	top50_cosine	39708	CC(C)OC(=O)[C@H](Cc1ncccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2		A	0.35240296	18		
NLRP3	top50_cosine	39520	Cc1cc(N2CCC2)cc(C)c1-n1cc2c(=O)[nH]c(N3CCOCC3)nc2n1		A	0.3517592	19		
NLRP3	top50_cosine	39572	Cc1ccc(CC(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N2CCCOCC2)co1		A	0.35155618	20		
NLRP3	top50_cosine	39505	Cc1cc(C)cc(-n2cc3c(=O)[nH]c(N4CCCC4)nc3n2)c1		A	0.34886035	21		
NLRP3	top50_cosine	39511	Cc1cc(C2CC2)cc(Cl)c1-n1cc2c(=O)[nH]c(N3CC4CC(C3)O4)nc2n1		A	0.34874958	22		
NLRP3	top50_cosine	39697	CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC[C@@H]4O)CCC3)c1		A	0.3485091	23		
NLRP3	top50_cosine	39738	CC(C)c1cn(C(C)C)nc1Nc1nc(C(=O)NS(=O)(=O)N2CCOCCC2C)co1		A	0.34831595	24		
NLRP3	top50_cosine	39698	CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC[C@H]4O)CCC3)c1		A	0.3481982	25		
NLRP3	top50_cosine	20174	CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)C(C)(C)C)C2		B	0.3448844	26		
NLRP3	top50_cosine	39734	CC(C)c1ccccc1-n1cc2c(=O)[nH]c(N3CCCC3)nc2n1		A	0.3446057	27		
NLRP3	top50_cosine	39805	CCc1ccc(-n2cc3c(=O)[nH]c(N4CCCC4)nc3n2)c(C)c1		A	0.3445979	28		
NLRP3	top50_cosine	39784	CCOC(=O)C(Cc1ncccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2		A	0.3444505	29		
NLRP3	top50_cosine	20167	CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCC)C(=O)Cc1ccsc1)C2		B	0.34429726	30		
