target_label	panel_target	drug_name	tag	panel_class	clinical_stage	in_screen_library	rank	synthetic_rank	cosine	percentile	n_library_drugs	smiles_canonical
NLRP3	NLRP3	MCC950	gold_standard	B	research_canonical	True	3.0		0.37123296	99.9994261404502		
NLRP3	NLRP3	Tranilast	repurposing_anchor	B	approved_other	True	6635.0		0.16547146	98.73081396238544		
NLRP3	NLRP3	Glyburide	repurposing_anchor	A	approved_other	True	2936.0		0.18414304	99.4383827872741		
NLRP3	NLRP3	Loratadine	negative_control	B	approved_other	True	123894.0		0.07592387	76.30074831285292		
NLRP3	NLRP3	Amoxicillin	negative_control	B	approved_other	True	219582.0		0.046843976	57.99692411281314		
NLRP3	NLRP3	Levothyroxine	negative_control	B	approved_other	True	345869.0		0.014408299	33.83992379145179		
NLRP3	NLRP3	Warfarin	negative_control	B	approved_other	True	58078.0		0.10521344	88.89046168913646		
CD73	CD73	AB680	gold_standard	B	phase_2	True	503.0		0.3222116	99.9037828821522		
CD73	CD73	LY3475070	clinical	A	phase_1	True	1118.0		0.26911438	99.78614167444564		
CD73	CD73	AOPCP	gold_standard	B	research_tool	True	1276.0		0.23392466	99.75591840482348		
CD73	CD73	Dipyridamole	repurposing_anchor	B	approved_other	True	198556.0		0.008300442	62.01891441076101		
CD73	CD73	AMP	natural_ligand	B	natural_ligand	True	1612.0		0.20478147	99.6916461352472		
CD73	CD73	Adenosine	natural_ligand	B	natural_ligand	True	22544.0		0.09322572	95.68763676985937		
CD73	CD73	Loratadine	negative_control	B	approved_other	True	430512.0		-0.04919703	17.648859167215026		
CD73	CD73	Amoxicillin	negative_control	B	approved_other	True	65649.0		0.055853605	87.442231471988		
CD73	CD73	Levothyroxine	negative_control	B	approved_other	True	164221.0		0.017828349	68.58673695808531		
CD73	CD73	Warfarin	negative_control	B	approved_other	True	154021.0		0.020926392	70.53785942736468		
STING1_aggregate	STING1	Loratadine	negative_control	B	approved_other	True	120067.0		0.07150136	77.0328018118659		
STING1_aggregate	STING1	Amoxicillin	negative_control	B	approved_other	True	322439.0		0.0135055	38.32176687529649		
STING1_aggregate	STING1	Levothyroxine	negative_control	B	approved_other	True	15677.0		0.15974762	97.00120127932422		
STING1_aggregate	STING1	Warfarin	negative_control	B	approved_other	True	178619.0		0.05163759	65.83259369213583		
STING1_seqonly	STING1	Loratadine	negative_control	B	approved_other	True	43343.0		0.10441843	91.70906851117878		
STING1_seqonly	STING1	Amoxicillin	negative_control	B	approved_other	True	436699.0		-0.019957438	16.465369489035453		
STING1_seqonly	STING1	Levothyroxine	negative_control	B	approved_other	True	32180.0		0.11333138	93.84439989594011		
STING1_seqonly	STING1	Warfarin	negative_control	B	approved_other	True	325724.0		0.0121853985	37.69339066827857		
NLRP3	NLRP3	Inzomelid	clinical	C	phase_2	False		50	0.33142945170402527	99.9904356741702	522776	CC(C)n1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1
NLRP3	NLRP3	Dapansutrile	clinical	C	phase_2	False		214145	0.04834051430225372	59.03694890354569	522776	CS(=O)(=O)CCC#N
NLRP3	NLRP3	NP3-562	clinical	C	phase_1	False		2203	0.19020850956439972	99.57859580393898	522776	CN1CCC[C@@H](NC(=O)Cn2nc(C(C)(C)O)n3c(cc4sc(Cl)cc43)c2=O)C1
NLRP3	NLRP3	CY-09	tool	C	research_tool	False		67474	0.0999639630317688	87.09313357920027	522776	O=C(O)c1ccc(/C=C2\SC(=S)N(Cc3cccc(C(F)(F)F)c3)C2=O)cc1
NLRP3	NLRP3	BAY-11-7082	tool	C	research_tool	False		33352	0.12303749471902847	93.6202120984896	522776	Cc1ccc(S(=O)(=O)/C=C/C#N)cc1
NLRP3	NLRP3	Oridonin	tool	C	research_tool	False		1705	0.19584941864013672	99.6738564892038	522776	C=C1C(=O)[C@]23[C@H](O)[C@H]1CC[C@H]2[C@@]12CO[C@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2O
NLRP3	NLRP3	Parthenolide	tool	C	research_tool	False		557	0.22467243671417236	99.89345341025601	522776	C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21
NLRP3	NLRP3	JC124	tool	C	research_tool	False		475	0.23123547434806824	99.9091389046169	522776	CNS(=O)(=O)c1ccc(CCNC(=O)c2cc(Cl)ccc2OC)cc1
NLRP3	NLRP3	Aspirin	negative_control	C	approved_other	False		71004	0.09814126044511795	86.41789217561633	522776	CC(=O)Oc1ccccc1C(=O)O
CD73	CD73	PSB-12379	tool	C	research_tool	False		833	0.30141082406044006	99.84065833167551	522776	O=P(O)(O)CP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(NCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O
CD73	CD73	Aspirin	negative_control	C	approved_other	False		43217	0.07085895538330078	91.73317061226989	522776	CC(=O)Oc1ccccc1C(=O)O
STING1_aggregate	STING1	MSA-2	gold_standard	C	research_canonical	False		314284	0.015553039498627186	39.881708418137016	522776	COc1cc2cc(C(=O)CCC(=O)O)sc2cc1OC
STING1_aggregate	STING1	diABZI compound 3	gold_standard	C	research_canonical	False		181035	0.05090692639350891	65.37044546803985	522776	CCn1nc(C)cc1C(=O)Nc1nc2cc(C(N)=O)cc(OC)c2n1C/C=C/Cn1c(NC(=O)c2cc(C)nn2CC)nc2cc(C(N)=O)cc(OCCCN3CCOCC3)c21
STING1_aggregate	STING1	ADU-S100	clinical	C	phase_2_discontinued	False		913	0.2867981195449829	99.82535541034784	522776	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)([S-])O[C@@H]3[C@H](O)[C@@H](COP([O-])(=S)O[C@H]2[C@H]1O)O[C@H]3n1cnc2c(N)ncnc21.[Na+].[Na+]
STING1_aggregate	STING1	MK-1454	clinical	C	phase_2	False		5698	0.22134961187839508	98.91004942843588	522776	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(O)(=S)O[C@H]4[C@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(O)(=S)O[C@@H]2[C@@H]3F)c(=O)[nH]1
STING1_aggregate	STING1	SR-717	tool	C	research_tool	False		3956	0.24125170707702637	99.24327054034615	522776	O=C(Nc1cc(F)c(F)cc1C(=O)[O-])c1ccc(-n2ccnc2)nn1.[Li+]
STING1_aggregate	STING1	C-176	tool_antagonist	C	research_tool	False		14996	0.16204649209976196	97.13146739712612	522776	CCCCc1ccc(NC(=O)c2ccc([N+](=O)[O-])o2)cc1
STING1_aggregate	STING1	H-151	tool_antagonist	C	research_tool	False		22802	0.1423436999320984	95.6382848485776	522776	CCCCCCc1ccc(NC(=O)c2ccc([N+](=O)[O-])o2)cc1
STING1_aggregate	STING1	2'3'-cGAMP	natural_ligand	C	natural_ligand	False		5301	0.2262168526649475	98.9859901755245	522776	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1
STING1_aggregate	STING1	Aspirin	negative_control	C	approved_other	False		13592	0.16689783334732056	97.40003366642692	522776	CC(=O)Oc1ccccc1C(=O)O
STING1_seqonly	STING1	MSA-2	gold_standard	C	research_canonical	False		304860	0.01740444451570511	41.68439255053789	522776	COc1cc2cc(C(=O)CCC(=O)O)sc2cc1OC
STING1_seqonly	STING1	diABZI compound 3	gold_standard	C	research_canonical	False		415859	-0.012866099365055561	20.451780494896475	522776	CCn1nc(C)cc1C(=O)Nc1nc2cc(C(N)=O)cc(OC)c2n1C/C=C/Cn1c(NC(=O)c2cc(C)nn2CC)nc2cc(C(N)=O)cc(OCCCN3CCOCC3)c21
STING1_seqonly	STING1	ADU-S100	clinical	C	phase_2_discontinued	False		346	0.23474819958209991	99.93381486525777	522776	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)([S-])O[C@@H]3[C@H](O)[C@@H](COP([O-])(=S)O[C@H]2[C@H]1O)O[C@H]3n1cnc2c(N)ncnc21.[Na+].[Na+]
STING1_seqonly	STING1	MK-1454	clinical	C	phase_2	False		35	0.3081563413143158	99.99330497191914	522776	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(O)(=S)O[C@H]4[C@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(O)(=S)O[C@@H]2[C@@H]3F)c(=O)[nH]1
STING1_seqonly	STING1	SR-717	tool	C	research_tool	False		20411	0.12546707689762115	96.09565090975866	522776	O=C(Nc1cc(F)c(F)cc1C(=O)[O-])c1ccc(-n2ccnc2)nn1.[Li+]
STING1_seqonly	STING1	C-176	tool_antagonist	C	research_tool	False		10900	0.14085455238819122	97.9149769691034	522776	CCCCc1ccc(NC(=O)c2ccc([N+](=O)[O-])o2)cc1
STING1_seqonly	STING1	H-151	tool_antagonist	C	research_tool	False		10755	0.14115871489048004	97.94271351400982	522776	CCCCCCc1ccc(NC(=O)c2ccc([N+](=O)[O-])o2)cc1
