drug_idx	cosine	rank	drug_smiles	leakage_class	drug_name	tag	panel_leakage_class
272410	0.41071895	1	CC1(C)CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)C(=O)O1	A			
272403	0.4003345	2	CC1(C)CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nc3ncnn23)CC1(F)F	A			
272413	0.3979252	3	CC1(C)CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ncnc23)CC1(F)F	A			
273417	0.3970945	4	O=c1[nH]cc(-c2cc(N3CC4C(C3)C4(F)F)c3nccn3n2)c(=O)[nH]1	A			
272411	0.3928896	5	CC1(C)CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)C1	A			
272402	0.39017212	6	CC1(C)CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nc3nccn23)CC1(F)F	A			
273029	0.38941136	7	Cn1ncc2ccc([C@H]3C[C@@H]3c3cc(-c4c[nH]c(=O)[nH]c4=O)nn4ccnc34)cc21	A			
273006	0.38861746	8	Cc1nc2ccc([C@H]3C[C@@H]3c3cc(-c4c[nH]c(=O)[nH]c4=O)nn4ccnc34)cc2s1	A			
273222	0.386887	9	O=C(Nc1ccccc1)[C@H]1C[C@@H]1c1cc(-c2c[nH]c(=O)[nH]c2=O)nn2ccnc12	A			
273411	0.3854334	10	O=c1[nH]cc(-c2cc(N3CC(c4ccccc4)C(F)(F)C3)c3nccn3n2)c(=O)[nH]1	A			
273396	0.38523075	11	O=c1[nH]cc(-c2cc(N3CC(F)(c4ccccc4)C3)c3nccn3n2)c(=O)[nH]1	A			
272778	0.3851053	12	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)C(=O)O)O[C@@H](n2cnc3c(N4CCCC4)nc(Cl)nc32)[C@@H]1O	A			
272851	0.3849738	13	COC(=O)c1cccc([C@H]2C[C@@H]2c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)c1	A			
272854	0.38337544	14	COC1CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nn3ccnc23)CC1(F)F	A			
272746	0.38333228	15	C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N4CC(O)C4)nc(Cl)nc32)[C@@H]1O	A			
273377	0.38265842	16	O=c1[nH]cc(-c2cc(N3CC(F)(C(F)(F)F)C3)c3ncc(Cl)n3n2)c(=O)[nH]1	A			
272401	0.3793971	17	CC1(C)CN(c2cc(-c3c[nH]c(=O)[nH]c3=O)nc3ccnn23)CC1(F)F	A			
