drug_idx	cosine	rank	drug_smiles	leakage_class	drug_name	tag	panel_leakage_class
39497	0.37955272	1	Cc1cc(C(C)C)ccc1-n1cc2c(=O)[nH]c(N3CCCC3)nc2n1	A			
39538	0.37200794	2	Cc1ccc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N(C(C)C)C(C)C)co1	A			
20138	0.37123296	3	CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1	B	MCC950	gold_standard	B
39695	0.37118194	4	CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1	A			
39800	0.37106276	5	CCS(=O)(=O)Cc1csc(/C=C/S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1	A			
39468	0.3705396	6	CS(=O)(=O)NC(=O)c1cnc(Nc2c3c(cc4c2CCC4)CCC3)o1	A			
39843	0.36507115	7	O=c1[nH]c(N2CCOCC2)nc2nn(-c3ccc(C4CC4)cc3C(F)F)cc12	A			
39848	0.3645497	8	O=c1[nH]c(N2CCOCCO2)nc2nn(-c3ccc(C4CC4)cc3C(F)(F)F)cc12	A			
39535	0.3624943	9	Cc1ccc(C(C)C)cc1Nc1nc(C(=O)NS(=O)(=O)N(C)Cc2ccccn2)co1	A			
39515	0.36158532	10	Cc1cc(C2CC2)ccc1-n1cc2c(=O)[nH]c(N3CCCC3)nc2n1	A			
39793	0.36047322	11	CCOC(=O)c1nnc(Nc2c3c(cc4c2CCC4)CCC3)o1	A			
39696	0.35798076	12	CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4O)CCC3)c1	A			
39462	0.3570591	13	COc1ccc(C(C)C)c(Nc2nc(C(=O)NS(=O)(=O)N3CCCOCC3)co2)c1	A			
20137	0.35564047	14	CC(C)(C)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1	B			
39430	0.35500392	15	CNc1nc2nn(-c3c(C)cc(C4CC4)cc3C)cc2c(=O)[nH]1	A			
39524	0.35424364	16	Cc1cc(OC(F)F)cc(C)c1-n1cc2c(=O)[nH]c(N3CCOCC3=O)nc2n1	A			
39694	0.35298046	17	CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC(O)C4)CCC3)c1	A			
39708	0.35240296	18	CC(C)OC(=O)[C@H](Cc1ncccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2	A			
39520	0.3517592	19	Cc1cc(N2CCC2)cc(C)c1-n1cc2c(=O)[nH]c(N3CCOCC3)nc2n1	A			
39572	0.35155618	20	Cc1ccc(CC(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N2CCCOCC2)co1	A			
39505	0.34886035	21	Cc1cc(C)cc(-n2cc3c(=O)[nH]c(N4CCCC4)nc3n2)c1	A			
39511	0.34874958	22	Cc1cc(C2CC2)cc(Cl)c1-n1cc2c(=O)[nH]c(N3CC4CC(C3)O4)nc2n1	A			
39697	0.3485091	23	CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC[C@@H]4O)CCC3)c1	A			
39738	0.34831595	24	CC(C)c1cn(C(C)C)nc1Nc1nc(C(=O)NS(=O)(=O)N2CCOCCC2C)co1	A			
39698	0.3481982	25	CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC[C@H]4O)CCC3)c1	A			
20174	0.3448844	26	CCCNS(=O)(=O)c1ccc2c(c1)CC(N(Cc1cc(Cl)ccc1OCCOC)C(=O)C(C)(C)C)C2	B			
39734	0.3446057	27	CC(C)c1ccccc1-n1cc2c(=O)[nH]c(N3CCCC3)nc2n1	A			
39805	0.3445979	28	CCc1ccc(-n2cc3c(=O)[nH]c(N4CCCC4)nc3n2)c(C)c1	A			
