drug_idx	cosine	rank	drug_smiles	leakage_class	drug_name	tag	panel_leakage_class
7088	0.35148168	1	O=C([O-])C(=O)CC(=O)[C@]1(Cc2ccc(Cl)cc2)CCC[N@H+](Cc2ccccc2)C1	B			
7644	0.3490445	2	[NH2+]=c1[nH]c(=O)c2ncn([C@@H]3O[C@@H]4CO[P@](=O)([O-])O[C@H]5[C@@H](O)[C@H](n6cnc7c(=O)[nH]c(=[NH2+])[nH]c76)O[C@@H]5CO[P@](=O)([O-])O[C@H]4[C@H]3O)c2[nH]1	A			
7565	0.34556228	3	[NH2+]=c1[nH]c(=O)c2c([nH]1)n([C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O)c[n+]2CCOc1ccc(Cl)cc1	B			
5056	0.34323958	4	[NH2+]=c1[nH]c(=O)c2ncn([C@@H]3O[C@@H]4CO[P@@](=O)([O-])O[C@H]5[C@@H](O)[C@H](n6cnc7c(=O)[nH]c(=[NH2+])[nH]c76)O[C@@H]5CO[P@](=O)([O-])O[C@H]4[C@H]3O)c2[nH]1	A			
5702	0.34304535	5	O=C([O-])c1cc(Br)ccc1N[C@@H]1CCC[NH2+]C1	B			
5864	0.34256592	6	Cn1cc([C@@H]2CCC3=C4[C@@H]([NH2+]C5CCCCC5)[NH2+]C[C@@H](C(N)=O)[C@@H]4[NH2+][C@H]3C2)cn1	B			
3613	0.34177017	7	[NH2+]=c1[nH]c(=O)c2ncn([C@@H]3O[C@H]4CO[P@@](=O)([O-])O[C@H]5[C@@H](O)[C@H](n6cnc7c(=O)[nH]c(=[NH2+])[nH]c76)O[C@@H]5CO[P@@](=O)([O-])O[C@H]4[C@H]3O)c2[nH]1	B			
7610	0.34170815	8	O=C1Cc2ccccc2C(=O)N1[O-]	B			
5425	0.34068835	9	[NH2+]=c1[nH]c(=O)c2ncn([C@@H]3O[C@@H]4CO[P@@](=O)([O-])O[C@H]5[C@@H](O)[C@H](n6cnc7c(=O)[nH]c(=[NH2+])[nH]c76)O[C@@H]5CO[P@@](=O)([O-])O[C@H]4[C@H]3O)c2[nH]1	B			
3755	0.34039328	10	CC1=C([C@@H]2C[C@H](C)[C]([O-])O2)CC[C@]23CCC[NH+]=C2CC/C=C(\C)[C@@H]2O[C@@H](CC[C@H](O)/C(C)=C/[C@@H]13)C[C@H]2C	B			
5703	0.3400635	11	O=C([O-])c1cc(Br)ccc1N[C@H]1CCC[NH2+]C1	B			
6402	0.33910665	12	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-]	B			
5255	0.33865732	13	Cc1ccc(-c2c(C[NH3+])c(CC(C)C)nc(C)c2C(=O)[O-])cc1	B			
530	0.338586	14	CC(=O)C1=CN([C@@H]2O[C@H](CO[P@@](=O)([O-])O[P@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	B			
14356	0.33846375	15	CCC(C)(C)[C]([O-])O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21	B			
1309	0.33768255	16	CC(=O)N[C@@H](Cc1ccc(N(C(=O)C(=O)[O-])c2ccccc2C(=O)[O-])c2ccccc12)C(=O)NCCCCCOc1cc2ccccc2cc1C(=O)[O-]	B			
3052	0.3372885	17	O=C(Nc1ccc(Cl)cc1)c1cc2ccccc2cc1OP(=O)([O-])[O-]	B			
5014	0.33596006	18	CO[C@@H]1[C@@H]2O[P@](=O)([O-])O[NH2+]OCCCCCCO[P@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(=[NH2+])[nH]c54)[C@H](OC)[C@@H]3O[P@](=O)([O-])OC[C@H]3C[N@@H+](Cc4c[nH]c5c(N)ncnc45)C[C@@H]3O[P@@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(=[NH2+])[nH]c54)[C@H](OC)[C@@H]3O[P@@](=O)([O-])OC[C@H]2O[C@H]1n1cnc2c(N)ncnc21	B			
5591	0.33588633	19	O=C1[C@@H](COP(=O)([O-])[O-])O[C@](O)(CO)[C@H]1O	B			
6704	0.33540684	20	N#Cc1ccc(CO[C]([O-])[C@H]2C[C@]3(C[NH2+]2)C(=O)Nc2ccccc23)cc1	B			
5017	0.33441225	21	CO[C@@H]1[C@@H]2O[P@@](=O)([O-])O[NH2+]OCCCCCCO[P@@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(=[NH2+])[nH]c54)[C@H](OC)[C@@H]3O[P@@](=O)([O-])OC[C@H]3C[N@@H+](Cc4c[nH]c5c(N)ncnc45)C[C@@H]3O[P@@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(=[NH2+])[nH]c54)[C@H](OC)[C@@H]3O[P@@](=O)([O-])OC[C@H]2O[C@H]1n1cnc2c(N)ncnc21	B			
13222	0.3343776	22	NC(=O)C1=CN([C@@H]2O[C@H](CO[P@@](=O)([O-])O[P@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	B			
10626	0.33392975	23	O=C([O-])C(=O)CC(=O)[C@]1(Cc2ccc(Cl)cc2)CC[N@@H+](Cc2ccccc2)CC1	B			
1449	0.33382505	24	[NH3+]CCc1c[nH]cn1	B			
7716	0.33372402	25	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@](=O)([O-])O[C@H]4[C@@H](O)[C@H](n5cnc6c(=O)[nH]c(N)nc65)O[C@@H]4CO[P@](=O)([O-])O[C@H]3[C@H]2O)c(=O)[nH]1	B			
13126	0.3336002	26	[H]C1=Nc2c(N([H])[H])nc([H])nc2N1[C@]1([H])O[C@]([H])(C([H])([H])O[P@@](=O)([O-])O[P@](=O)([O-])OP(=O)([O-])[O-])[C@@]2([H])O[C@@]3(O[C@]21[H])C([N+](=O)[O-])=C([H])C([N+](=O)[O-])=C([H])C3=[N+3](=O)=O	B			
1991	0.3325961	27	C[N@H+]1[C@@H]2CC[C@H]1C[C@H](O[C]([O-])[C@H](CO)c1ccccc1)C2	B			
795	0.33253855	28	O=C([O-])[C@H](CO)[NH2+]c1ccc([N+](=O)[O-])cc1[N+](=O)[O-]	B			
7611	0.33231172	29	O=C([O-])C(=O)CC(=O)[C@]1(Cc2ccc(Cl)cc2)CC[N@H+](Cc2ccccc2)CC1	B			
13741	0.332271	30	O=C([O-])c1cccc(-c2cc(C(=O)[O-])ncc2C(=O)[O-])c1	B			
2339	0.332219	31	O=C(NCCOP(=O)([O-])[O-])c1ccc(OC(F)(F)F)cc1	B			
2980	0.33198428	32	O=C([O-])c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1	B			
3113	0.3319624	33	O=C1[C@@H]2CO[P@](=O)([O-])O[P@](=O)([O-])OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n3cnc4c(ncn4[C@H](O2)[C@@H]1O)c3=O	B			
4160	0.33191696	34	CC[C@@H](Cc1c(I)cc(I)c(O)c1I)C(=O)[O-]	B			
5807	0.3315778	35	O=C([O-])c1ccccc1NCc1ccco1	B			
2502	0.33088848	36	NC(=O)C1=CN([C@@H]2O[C@H](CO[P@@](=O)([O-])O[P@@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	B			
13191	0.33084658	37	NC(=O)C1=CN([C@@H]2O[C@H](CO[P@](=O)([O-])O[P@@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	B			
1288	0.33060154	38	[NH2+]=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]1	B			
