drug_idx	cosine	rank	drug_smiles	leakage_class	drug_name	tag	panel_leakage_class
520647	0.346611	1	Nc1nc2c(ncn2[C@H]2C[C@@H]3OS(=O)(=O)NC[C@H]4O[C@@H](n5cnc6c(N)ncnc65)[C@H](F)[C@@H]4OP(=O)(O)OC[C@H]3O2)c(=O)[nH]1	A			
521151	0.33413982	2	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CNS(=O)(=O)O[C@H]3[C@H]2O)c(=O)[nH]1	A			
521150	0.33377725	3	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CNS(=O)(=O)O[C@H]3[C@H]2F)c(=O)[nH]1	A			
521128	0.3335304	4	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CNS(=O)(=O)O[C@H]4[C@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@H]3[C@H]2F)c(=O)[nH]1	A			
521156	0.3316507	5	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CNS(=O)(=O)O[C@H]3[C@H]2F)c(=O)[nH]1	A			
521130	0.33042425	6	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CNS(=O)(=O)O[C@H]4[C@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CO[P@](=O)(S)O[C@H]3[C@H]2F)c(=O)[nH]1	A			
520643	0.32754165	7	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@](=O)(S)O[C@H]4[C@@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CNS(=O)(=O)O[C@H]3[C@@H]2F)c(=O)[nH]1	A			
520644	0.32639843	8	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@](=O)(S)O[C@H]4[C@@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CNS(=O)(=O)O[C@H]3[C@H]2F)c(=O)[nH]1	A			
520645	0.32517126	9	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@](=O)(S)O[C@H]4[C@@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CNS(=O)(=O)O[C@H]3[C@H]2F)c(=O)[nH]1	A			
520634	0.3238135	10	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@@](=O)(S)O[C@H]4[C@@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CNS(=O)(=O)O[C@H]3[C@H]2F)c(=O)[nH]1	A			
521153	0.32364327	11	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
521152	0.323413	12	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2C3)c(=O)[nH]1	A			
520636	0.32337967	13	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@@](=O)(S)O[C@H]4[C@@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CNS(=O)(=O)O[C@H]3[C@H]2F)c(=O)[nH]1	A			
521129	0.32202575	14	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CNS(=O)(=O)O[C@H]4[C@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CO[P@@](=O)(S)O[C@H]3[C@H]2F)c(=O)[nH]1	A			
521142	0.321115	15	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4C[C@H](Nc5ncnc6scnc56)C[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
521160	0.3209478	16	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
521161	0.3207683	17	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
521159	0.32059675	18	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2C3)c(=O)[nH]1	A			
521158	0.3200881	19	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
521149	0.319011	20	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4C[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
68844	0.31793666	21	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@@H](F)[C@H](n5cnc6c(=O)[nH]c(N)nc65)O[C@@H]4COP(=O)(O)O[C@H]3[C@H]2F)c(=O)[nH]1	B			
521148	0.3179342	22	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4C[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3F)c(=O)[nH]1	A			
521157	0.31694624	23	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2C3)c(=O)[nH]1	A			
68846	0.31512776	24	Nc1nc2c(ncn2[C@H]2C[C@@H]3OP(=O)(O)OC[C@H]4O[C@@H](n5cnc6c(=O)[nH]c(N)nc65)C[C@@H]4OP(=O)(O)OC[C@H]3O2)c(=O)[nH]1	B			
520659	0.31441545	25	Nc1nc2c(ncn2[C@H]2O[C@H]3COP(=O)(O)O[C@H]4[C@@H](O)[C@@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
521141	0.3141978	26	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4C[C@H](Nc5ncnc6ccnn56)C[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
521147	0.31341067	27	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4C[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2C3)c(=O)[nH]1	A			
68845	0.3126081	28	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@@H](O)[C@H](n5cnc6c(=O)[nH]c(N)nc65)O[C@@H]4COP(=O)(O)O[C@H]3[C@H]2O)c(=O)[nH]1	B			
520627	0.31205785	29	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)O[C@H]4[C@@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(S)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
7644	0.31054696	30	[NH2+]=c1[nH]c(=O)c2ncn([C@@H]3O[C@@H]4CO[P@](=O)([O-])O[C@H]5[C@@H](O)[C@H](n6cnc7c(=O)[nH]c(=[NH2+])[nH]c76)O[C@@H]5CO[P@](=O)([O-])O[C@H]4[C@H]3O)c2[nH]1	A			
520635	0.31005362	31	Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@@](=O)(S)O[C@H]4[C@@H](F)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4CO[P@@](=O)(S)O[C@@H]2[C@@H]3O)c(=O)[nH]1	A			
521164	0.30926272	32	Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@H]5OC[C@]4(COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@H]5n2cnc3c(N)ncnc32)c(=O)[nH]1	A			
