protein_idx	protein_id	uniprot_accession	gene_symbol	status
0	pdb:1bl4	P62942	FKBP1A	pdb→sifts→uniprot
1	pdb:1bl6	Q16539	MAPK14	pdb→sifts→uniprot
2	pdb:1bl7	Q16539	MAPK14	pdb→sifts→uniprot
3	pdb:1bm2	P62993	GRB2	pdb→sifts→uniprot
4	pdb:1bm6	P08254	MMP3	pdb→sifts→uniprot
5	pdb:1bm7	P02766	TTR	pdb→sifts→uniprot
6	pdb:1bma	P00772	CELA1	pdb→sifts→uniprot
7	pdb:1bmb	P62993	GRB2	pdb→sifts→uniprot
8	pdb:1bmk	Q16539	MAPK14	pdb→sifts→uniprot
9	pdb:1bmm	P00734	F2	pdb→sifts→uniprot
10	pdb:1bmn	P00734	F2	pdb→sifts→uniprot
11	pdb:1bmq	P29466	CASP1	pdb→sifts→uniprot
12	pdb:1bn1	P00918	CA2	pdb→sifts→uniprot
13	pdb:1bn3	P00918	CA2	pdb→sifts→uniprot
14	pdb:1bn4	P00918	CA2	pdb→sifts→uniprot
15	pdb:1bnm	P00918	CA2	pdb→sifts→uniprot
16	pdb:1bnn	P00918	CA2	pdb→sifts→uniprot
17	pdb:1bnq	P00918	CA2	pdb→sifts→uniprot
18	pdb:1bnt	P00918	CA2	pdb→sifts→uniprot
19	pdb:1bnu	P00918	CA2	pdb→sifts→uniprot
20	pdb:1bnv	P00918	CA2	pdb→sifts→uniprot
21	pdb:1bnw	P00918	CA2	pdb→sifts→uniprot
22	pdb:1bo5	P0A6F3	glpK	pdb→sifts→uniprot
23	pdb:1bp0	P00469	thyA	pdb→sifts→uniprot
24	pdb:1bq3	P00950	GPM1	pdb→sifts→uniprot
25	pdb:1bq4	P00950	GPM1	pdb→sifts→uniprot
26	pdb:1bqm	P03366	gag-pol	pdb→sifts→uniprot
27	pdb:1bqn	P03366	gag-pol	pdb→sifts→uniprot
28	pdb:1bqo	P08254	MMP3	pdb→sifts→uniprot
29	pdb:1br6	P02879		pdb→sifts→uniprot
30	pdb:1br8	P01008	SERPINC1	pdb→sifts→uniprot
31	pdb:1bra	P00763	Prss2	pdb→sifts→uniprot
32	pdb:1bsk	P0A6K3	def	pdb→sifts→uniprot
33	pdb:1bt6	P60903	S100A10	pdb→sifts→uniprot
34	pdb:1btn	Q62261	Sptbn1	pdb→sifts→uniprot
35	pdb:1bty	P00760	PRSS1	pdb→sifts→uniprot
36	pdb:1bug	Q9ZP19	co-1	pdb→sifts→uniprot
37	pdb:1bux	P22887	ndkC-1;	pdb→sifts→uniprot
38	pdb:1bv7	P04585	gag-pol	pdb→sifts→uniprot
39	pdb:1bv9	P04585	gag-pol	pdb→sifts→uniprot
40	pdb:1bwa	P04585	gag-pol	pdb→sifts→uniprot
41	pdb:1bwb	P04585	gag-pol	pdb→sifts→uniprot
42	pdb:1bwn	Q06187	BTK	pdb→sifts→uniprot
43	pdb:1bxl	Q07817	BCL2L1	pdb→sifts→uniprot
44	pdb:1bxo	P00798		pdb→sifts→uniprot
45	pdb:1bxq	P00798		pdb→sifts→uniprot
46	pdb:1bxr	P00968	carB	pdb→sifts→uniprot
47	pdb:1bzc	P18031	PTPN1	pdb→sifts→uniprot
48	pdb:1bzf	P00381	folA	pdb→sifts→uniprot
49	pdb:1bzh	P18031	PTPN1	pdb→sifts→uniprot
50	pdb:1bzj	P18031	PTPN1	pdb→sifts→uniprot
51	pdb:1bzs	P22894	MMP8	pdb→sifts→uniprot
52	pdb:1bzy	P00492	HPRT1	pdb→sifts→uniprot
53	pdb:1c12	P01837	Igkc	pdb→sifts→uniprot
54	pdb:1c1r	P00760	PRSS1	pdb→sifts→uniprot
55	pdb:1c1u	P00734	F2	pdb→sifts→uniprot
56	pdb:1c1v	P00734	F2	pdb→sifts→uniprot
57	pdb:1c29	P0A2K1	trpB	pdb→sifts→uniprot
58	pdb:1c2t	P08179	purN	pdb→sifts→uniprot
59	pdb:1c3b	P00811	ampC	pdb→sifts→uniprot
60	pdb:1c3e	P08179	purN	pdb→sifts→uniprot
61	pdb:1c3i	P08254	MMP3	pdb→sifts→uniprot
62	pdb:1c3r	O67135	acuC1	pdb→sifts→uniprot
63	pdb:1c3x	P81989	punA	pdb→sifts→uniprot
64	pdb:1c4u	P00734	F2	pdb→sifts→uniprot
65	pdb:1c4v	P00734	F2	pdb→sifts→uniprot
66	pdb:1c4y	P00734	F2	pdb→sifts→uniprot
67	pdb:1c50	P00489	PYGM	pdb→sifts→uniprot
68	pdb:1c5c			pdb_not_in_sifts
69	pdb:1c5f	Q27450	CYP-1	pdb→sifts→uniprot
70	pdb:1c5n	P00734	F2	pdb→sifts→uniprot
71	pdb:1c5o	P00734	F2	pdb→sifts→uniprot
72	pdb:1c5p	P00760	PRSS1	pdb→sifts→uniprot
73	pdb:1c5q	P00760	PRSS1	pdb→sifts→uniprot
74	pdb:1c5s	P00760	PRSS1	pdb→sifts→uniprot
75	pdb:1c5t	P00760	PRSS1	pdb→sifts→uniprot
76	pdb:1c5x	P00749	PLAU	pdb→sifts→uniprot
77	pdb:1c5y	P00749	PLAU	pdb→sifts→uniprot
78	pdb:1c5z	P00749	PLAU	pdb→sifts→uniprot
79	pdb:1c6y	O09893	pol	pdb→sifts→uniprot
80	pdb:1c70	O92103	pol	pdb→sifts→uniprot
81	pdb:1c7e	P00323		pdb→sifts→uniprot
82	pdb:1c7f	P00323		pdb→sifts→uniprot
83	pdb:1c83	P18031	PTPN1	pdb→sifts→uniprot
84	pdb:1c84	P18031	PTPN1	pdb→sifts→uniprot
85	pdb:1c85	P18031	PTPN1	pdb→sifts→uniprot
86	pdb:1c86	P18031	PTPN1	pdb→sifts→uniprot
87	pdb:1c87	P18031	PTPN1	pdb→sifts→uniprot
88	pdb:1c88	P18031	PTPN1	pdb→sifts→uniprot
89	pdb:1c8k	P00489	PYGM	pdb→sifts→uniprot
90	pdb:1c8l	P00489	PYGM	pdb→sifts→uniprot
91	pdb:1c8v	P0A2K1	trpB	pdb→sifts→uniprot
92	pdb:1c9d	P0A2K1	trpB	pdb→sifts→uniprot
93	pdb:1ca8	P00734	F2	pdb→sifts→uniprot
94	pdb:1caq	P08254	MMP3	pdb→sifts→uniprot
95	pdb:1cbr	P62965	Crabp1	pdb→sifts→uniprot
96	pdb:1cbx	P00730	CPA1	pdb→sifts→uniprot
97	pdb:1ce5	P00760	PRSS1	pdb→sifts→uniprot
98	pdb:1cea	P00747	PLG	pdb→sifts→uniprot
99	pdb:1ceb	P00747	PLG	pdb→sifts→uniprot
100	pdb:1cet	Q27743		pdb→sifts→uniprot
101	pdb:1cgl	P03956	MMP1	pdb→sifts→uniprot
102	pdb:1ch8	P0A7D4	purA	pdb→sifts→uniprot
103	pdb:1ci7	P13100	THYA	pdb→sifts→uniprot
104	pdb:1cil	P00918	CA2	pdb→sifts→uniprot
105	pdb:1cim	P00918	CA2	pdb→sifts→uniprot
106	pdb:1cin	P00918	CA2	pdb→sifts→uniprot
107	pdb:1ciz	P08254	MMP3	pdb→sifts→uniprot
108	pdb:1cj1	P62993	GRB2	pdb→sifts→uniprot
109	pdb:1cka	Q64010	Crk	pdb→sifts→uniprot
110	pdb:1ckb	Q64010	Crk	pdb→sifts→uniprot
111	pdb:1clu	P01112	HRAS	pdb→sifts→uniprot
112	pdb:1cnw	P00918	CA2	pdb→sifts→uniprot
113	pdb:1cnx	P00918	CA2	pdb→sifts→uniprot
114	pdb:1cny	P00918	CA2	pdb→sifts→uniprot
115	pdb:1cp6	Q01693		pdb→sifts→uniprot
116	pdb:1cpi	P03369	gag-pol	pdb→sifts→uniprot
117	pdb:1cps	P00730	CPA1	pdb→sifts→uniprot
118	pdb:1cqp	P20701	ITGAL	pdb→sifts→uniprot
119	pdb:1cr6	P34914	Ephx2	pdb→sifts→uniprot
120	pdb:1cs4	P04896	GNAS	pdb→sifts→uniprot
121	pdb:1csh	P23007	CS	pdb→sifts→uniprot
122	pdb:1csi	P23007	CS	pdb→sifts→uniprot
123	pdb:1csr	P23007	CS	pdb→sifts→uniprot
124	pdb:1css	P23007	CS	pdb→sifts→uniprot
125	pdb:1ct8	P01837	Igkc	pdb→sifts→uniprot
126	pdb:1ctr	P0DP23	CALM1	pdb→sifts→uniprot
127	pdb:1ctt	P0ABF6	cdd	pdb→sifts→uniprot
128	pdb:1ctu	P0ABF6	cdd	pdb→sifts→uniprot
129	pdb:1cw2	P0A2K1	trpB	pdb→sifts→uniprot
130	pdb:1cwb	P62937	PPIA	pdb→sifts→uniprot
131	pdb:1cwc	P62937	PPIA	pdb→sifts→uniprot
132	pdb:1cx9	P0A2K1	trpB	pdb→sifts→uniprot
133	pdb:1cyn	P23284	PPIB	pdb→sifts→uniprot
134	pdb:1czc	P00509	aspC	pdb→sifts→uniprot
135	pdb:1cze	P00509	aspC	pdb→sifts→uniprot
136	pdb:1czk	P10340	isiB	pdb→sifts→uniprot
137	pdb:1czl	P10340	isiB	pdb→sifts→uniprot
138	pdb:1czo	P10340	isiB	pdb→sifts→uniprot
139	pdb:1czq			pdb_not_in_sifts
140	pdb:1czr	P10340	isiB	pdb→sifts→uniprot
141	pdb:1d04	P10340	isiB	pdb→sifts→uniprot
142	pdb:1d09	P0A786	pyrB	pdb→sifts→uniprot
143	pdb:1d1p	P40347	LTP1	pdb→sifts→uniprot
144	pdb:1d2e	P49410	TUFM	pdb→sifts→uniprot
145	pdb:1d2s	P04278	SHBG	pdb→sifts→uniprot
146	pdb:1d3d	P00734	F2	pdb→sifts→uniprot
147	pdb:1d3p	P00734	F2	pdb→sifts→uniprot
148	pdb:1d3q	P00734	F2	pdb→sifts→uniprot
149	pdb:1d3v	P07824	Arg1	pdb→sifts→uniprot
150	pdb:1d4h	P03366	gag-pol	pdb→sifts→uniprot
151	pdb:1d4i	P03366	gag-pol	pdb→sifts→uniprot
152	pdb:1d4j	P03366	gag-pol	pdb→sifts→uniprot
153	pdb:1d4k	P03369	gag-pol	pdb→sifts→uniprot
154	pdb:1d4l	P03369	gag-pol	pdb→sifts→uniprot
155	pdb:1d4p	P00734	F2	pdb→sifts→uniprot
156	pdb:1d4t	O60880	SH2D1A	pdb→sifts→uniprot
157	pdb:1d4w	O60880	SH2D1A	pdb→sifts→uniprot
158	pdb:1d4y	P03367	gag-pol	pdb→sifts→uniprot
159	pdb:1d5j	P08254	MMP3	pdb→sifts→uniprot
160	pdb:1d5r	P60484	PTEN	pdb→sifts→uniprot
161	pdb:1d6n	P00492	HPRT1	pdb→sifts→uniprot
162	pdb:1d6s	P0A1E3	cysK	pdb→sifts→uniprot
163	pdb:1d6v	P01834	IGKC	pdb→sifts→uniprot
164	pdb:1d6w	P00734	F2	pdb→sifts→uniprot
165	pdb:1d7i	P62942	FKBP1A	pdb→sifts→uniprot
166	pdb:1d7j	P62942	FKBP1A	pdb→sifts→uniprot
